"","ID","Age","Height","Weight","Year","cluster"
"4647",2649,27,178,77,1994,3
"4789",2737,22,175.539605950945,73.953388285543,1980,3
"4791",2737,22,175.539605950945,73.953388285543,1980,3
"4881",2786,19,176,54,1992,2
"4889",2792,23,168,68,1936,2
"4913",2799,22,175,72,1992,3
"5042",2869,14,163,69,1964,2
"5234",2965,29,170,69,2002,4
"5280",2987,20,178,83,1960,3
"5281",2987,24,178,83,1964,3
"5309",3006,30,175.539605950945,73.953388285543,1952,4
"5423",3069,22,190,82,1994,1
"5424",3069,22,190,82,1994,1
"5428",3069,26,190,82,1998,1
"5429",3069,26,190,82,1998,1
"5431",3069,30,190,82,2002,1
"5432",3069,30,190,82,2002,1
"5462",3080,29,175.539605950945,73.953388285543,1956,4
"5503",3108,19,165,64,2014,2
"5515",3118,17,175.539605950945,73.953388285543,1948,3
"5516",3118,21,175.539605950945,73.953388285543,1952,3
"5569",3150,24,175,72,2014,3
"5701",3214,23,178,83,1956,3
"5702",3214,23,178,83,1956,3
"5761",3245,28,175.539605950945,73.953388285543,1980,4
"5762",3245,28,175.539605950945,73.953388285543,1980,4
"5763",3245,28,175.539605950945,73.953388285543,1980,4
"5783",3251,23,169,60,2006,2
"5853",3295,19,170,69,1980,3
"6107",3433,29,180,87,2002,1
"6173",3472,20,171,55,2002,2
"6174",3472,20,171,55,2002,2
"6179",3472,28,171,55,2010,2
"6180",3472,28,171,55,2010,2
"6215",3491,31,183,91,2002,1
"6267",3514,26,163,73.953388285543,1976,2
"6406",3595,18,155,48,1998,2
"6420",3604,20,170,65,2006,2
"6421",3604,20,170,65,2006,2
"6422",3604,20,170,65,2006,2
"6423",3604,20,170,65,2006,2
"6424",3604,28,170,65,2014,2
"6425",3604,28,170,65,2014,2
"6426",3604,28,170,65,2014,2
"6427",3604,28,170,65,2014,2
"6434",3610,19,173,70,1998,3
"6436",3610,19,173,70,1998,3
"6437",3610,23,173,70,2002,3
"6467",3626,33,175.539605950945,73.953388285543,1964,4
"6575",3676,31,187,104,2002,1
"6592",3686,21,175.539605950945,73.953388285543,1928,3
"6675",3734,28,175.539605950945,73.953388285543,1952,4
"6676",3734,28,175.539605950945,73.953388285543,1952,4
"6677",3734,28,175.539605950945,73.953388285543,1952,4
"6736",3775,24,180,73.953388285543,1936,3
"6749",3782,27,180,75,1980,3
"6813",3823,23,160,54,2014,2
"6818",3824,34,178,80,2010,4
"6881",3865,23,175,77,1932,3
"6888",3869,22,182,77,1956,3
"6894",3872,22,175.539605950945,73.953388285543,1924,3
"6920",3882,33,175.539605950945,73.953388285543,1952,4
"6926",3885,27,177,72,1964,3
"6934",3889,20,169,63,2002,2
"6947",3897,27,178,68,1968,3
"6953",3903,23,179,74,2006,3
"6983",3920,26,169,69,2002,2
"6984",3920,30,169,69,2006,4
"7043",3945,30,183,71,1992,4
"7061",3951,24,158,58,2006,2
"7089",3964,28,187,88,1988,1
"7105",3977,25,190,92,1988,1
"7132",3986,25,175.539605950945,73.953388285543,1952,3
"7136",3989,30,173,77,1980,4
"7145",3995,32,175.539605950945,73.953388285543,1928,4
"7152",3997,23,175.539605950945,73.953388285543,1952,3
"7154",3998,23,175.539605950945,73.953388285543,1952,3
"7168",4005,19,168,53,1980,2
"7264",4060,47,175.539605950945,73.953388285543,1924,4
"7301",4085,24,177,60,1998,3
"7305",4085,28,177,60,2002,4
"7346",4110,25,175.539605950945,73.953388285543,1928,3
"7347",4111,30,175.539605950945,73.953388285543,1928,4
"7359",4121,25,179,74,1998,3
"7363",4124,24,191,76,1998,1
"7368",4124,28,191,76,2002,1
"7369",4124,32,191,76,2006,1
"7435",4161,24,175,85,2014,3
"7633",4256,21,185,81,2006,3
"7779",4321,20,178,73,1980,3
"7780",4321,24,178,73,1984,3
"7781",4321,24,178,73,1984,3
"7782",4321,24,178,73,1984,3
"7785",4321,28,178,73,1988,4
"7789",4322,24,179,72,2002,3
"7790",4322,28,179,72,2006,3
"7793",4322,28,179,72,2006,3
"7796",4322,32,179,72,2010,4
"7855",4348,40,175.539605950945,73.953388285543,1956,4
"7856",4349,34,175.539605950945,73.953388285543,1956,4
"7897",4375,24,175.539605950945,73.953388285543,1956,3
"7899",4375,28,175.539605950945,73.953388285543,1960,4
"7901",4375,28,175.539605950945,73.953388285543,1960,4
"7934",4392,22,162,52,1998,2
"7935",4392,26,162,52,2002,2
"7988",4423,27,181,98,2002,1
"7990",4423,31,181,98,2006,1
"7991",4423,31,181,98,2006,1
"8058",4457,31,165,60,2006,2
"8062",4457,35,165,60,2010,4
"8106",4478,24,170,64,2002,2
"8162",4503,31,165,52,2010,2
"8233",4538,28,190,84,2014,1
"8292",4568,25,171,69,2002,3
"8308",4579,22,179,80,2014,3
