"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_A","OCCU_C","OCCU_U","OCCU_H","OCCU_B","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_SC","CASTE_ST","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H"
"853",2702,"F",25,"OT","H","T","A",4000,2,15,4,10,29,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"854",5385,"F",30,"OT","H","U","C",2000,0,25,27,19,71,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"855",3959,"F",40,"OT","H","U","C",6000,0,15,27,26,68,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"856",5925,"F",25,"OT","H","T","A",12000,4.5,18,34,23,75,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"857",5460,"T",23,"OT","H","U","A",2000,0,5,28,23,56,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"858",874,"F",35,"SC","H","T","C",3000,1,26,35,16,77,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"859",4221,"F",25,"OT","H","T","A",10000,0,16,20,21,57,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"860",2210,"T",25,"OT","H","T","A",11800,0,10,14,6,30,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"861",4089,"T",30,"OT","H","T","C",4000,0,8,28,26,62,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"862",5446,"T",30,"OT","H","U","C",5000,0,8,24,15,47,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"863",1566,"F",15,"SC","H","T","C",1000,0,11,37,17,65,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"864",1524,"F",32,"SC","H","T","C",2500,0,13,35,6,54,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"865",134,"F",19,"OT","H","T","C",3700,0,22,32,19,73,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"866",1598,"F",45,"SC","H","T","C",3500,0,12,24,4,40,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"867",721,"F",17,"OT","H","T","C",2500,0,17,30,23,70,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"868",125,"T",21,"SC","H","T","C",5000,0,2,9,12,23,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"869",5717,"T",21,"OT","H","T","C",3500,0,21,6,15,42,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"870",5493,"F",18,"OT","H","T","C",6000,0,19,22,13,54,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"871",5665,"T",42,"SC","H","K","A",5000,0,7,34,30,71,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"872",3940,"F",35,"OT","H","T","A",6000,0,15,35,15,65,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"873",423,"F",24,"SC","H","T","C",3500,0,11,31,15,57,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"874",3244,"F",18,"SC","H","T","C",5000,0,15,24,25,64,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"875",1842,"F",37,"OT","H","T","C",10000,0,20,20,10,50,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"876",1071,"F",44,"OT","H","T","C",5000,0,14,20,15,49,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"877",5937,"T",18,"OT","H","T","U",0,0,13,34,9,56,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
