"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_C","OCCU_A","OCCU_B","OCCU_U","OCCU_H","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_ST","CASTE_SC","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H","acheivers"
"829",2921,"F",28,"OT","H","T","A",3000,1,11,26,19,56,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"830",538,"T",17,"SC","H","T","C",4000,0,11,29,20,60,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"831",4441,"F",33,"OT","H","T","C",43,0,21,34,28,83,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"832",2447,"T",21,"OT","H","T","C",5000,0,13,23,15,51,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"833",1426,"T",37,"SC","H","T","C",6000,0,14,32,13,59,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"834",2370,"F",37,"OT","H","T","C",5000,0,11,32,14,57,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"835",211,"F",28,"SC","H","T","C",8000,0,19,26,10,55,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"836",4473,"F",28,"OT","H","T","A",6000,0,8,28,23,59,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"837",3802,"F",19,"OT","H","T","C",1600,0,6,19,18,43,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"838",372,"F",18,"OT","H","T","C",3000,0,19,32,14,65,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"839",2178,"T",25,"OT","H","T","A",9000,0,16,35,16,67,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"840",2637,"T",43,"OT","H","T","C",4500,0,13,28,10,51,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"841",5284,"T",28,"OT","H","U","A",8000,1,10,8,23,41,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"842",1370,"T",23,"SC","H","T","C",2400,1,12,27,14,53,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"843",2490,"F",30,"OT","H","T","A",7000,3,10,15,18,43,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"844",5892,"T",22,"OT","H","T","A",8500,0,24,15,20,59,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"845",4299,"F",32,"SC","H","T","C",9750,0,10,28,17,55,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"846",1369,"F",32,"OT","H","T","C",3800,0,21,21,14,56,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"847",1331,"F",15,"SC","H","T","C",3000,0,16,36,27,79,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"848",4662,"T",22,"OT","H","T","A",4000,0,11,26,16,53,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"849",3057,"T",19,"OT","H","T","C",7000,0,18,30,25,73,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"850",325,"F",24,"OT","H","T","C",6000,1,26,39,13,78,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"851",3659,"T",23,"SC","H","T","A",7000,4,14,24,18,56,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"852",3785,"T",21,"OT","H","T","C",1600,0,9,19,21,49,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"853",1340,"F",19,"SC","H","T","C",3000,0,14,27,7,48,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"854",5832,"F",35,"OT","H","T","C",12000,1,22,28,30,80,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"855",4099,"F",30,"OT","H","T","C",5000,0,8,32,18,58,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"856",3709,"T",18,"OT","H","T","A",7000,4,17,23,8,48,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"857",4409,"F",30,"OT","H","T","C",6800,0,19,33,22,74,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"858",237,"T",22,"SC","H","T","C",3500,0,22,35,17,75,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"859",42,"F",45,"OT","H","T","C",2000,0,12.5,28.5,3,44,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"860",5922,"F",25,"OT","H","T","A",10000,2.5,16,24,14,54,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"861",5944,"F",30,"OT","H","K","A",10000,3,25,34,25,84,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
"862",2602,"T",15,"OT","H","T","A",5000,0,15,22,17,54,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"863",3546,"F",32,"SC","H","T","C",6000,0,8,34,10,52,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"864",4868,"F",23,"OT","H","U","C",4800,0,3,22,22,47,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"865",276,"F",18,"OT","H","T","C",7000,0,25,30,14,69,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"866",5172,"T",35,"SC","H","T","C",12000,0,11,23,14,48,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
